date,equity,cash,position_value,shares
2025-06-18,100000.0,100000.0,0.0,0
2025-06-19,100000.0,100000.0,0.0,0
2025-06-20,100000.0,100000.0,0.0,0
2025-06-23,100000.0,100000.0,0.0,0
2025-06-24,100000.0,100000.0,0.0,0
2025-06-25,100000.0,100000.0,0.0,0
2025-06-26,100000.0,100000.0,0.0,0
2025-06-27,100000.0,100000.0,0.0,0
2025-06-30,100000.0,100000.0,0.0,0
2025-07-01,100000.0,100000.0,0.0,0
2025-07-02,100000.0,100000.0,0.0,0
2025-07-03,100000.0,100000.0,0.0,0
2025-07-04,100000.0,100000.0,0.0,0
2025-07-07,100000.0,100000.0,0.0,0
2025-07-08,100000.0,100000.0,0.0,0
2025-07-09,100000.0,100000.0,0.0,0
2025-07-10,100000.0,100000.0,0.0,0
2025-07-11,100000.0,100000.0,0.0,0
2025-07-14,100000.0,100000.0,0.0,0
2025-07-15,100000.0,100000.0,0.0,0
2025-07-16,100000.0,100000.0,0.0,0
2025-07-17,100000.0,100000.0,0.0,0
2025-07-18,100000.0,100000.0,0.0,0
2025-07-21,100000.0,100000.0,0.0,0
2025-07-22,100000.0,100000.0,0.0,0
2025-07-23,100000.0,100000.0,0.0,0
2025-07-24,100000.0,100000.0,0.0,0
2025-07-25,100000.0,100000.0,0.0,0
2025-07-28,100000.0,100000.0,0.0,0
2025-07-29,100000.0,100000.0,0.0,0
2025-07-30,100000.0,100000.0,0.0,0
2025-07-31,100000.0,100000.0,0.0,0
2025-08-01,100000.0,100000.0,0.0,0
2025-08-04,100000.0,100000.0,0.0,0
2025-08-05,100000.0,100000.0,0.0,0
2025-08-06,100000.0,100000.0,0.0,0
2025-08-07,100000.0,100000.0,0.0,0
2025-08-08,100000.0,100000.0,0.0,0
2025-08-11,100000.0,100000.0,0.0,0
2025-08-12,100000.0,100000.0,0.0,0
2025-08-13,100000.0,100000.0,0.0,0
2025-08-14,100000.0,100000.0,0.0,0
2025-08-15,100000.0,100000.0,0.0,0
2025-08-18,100000.0,100000.0,0.0,0
2025-08-19,100000.0,100000.0,0.0,0
2025-08-20,100000.0,100000.0,0.0,0
2025-08-21,100000.0,100000.0,0.0,0
2025-08-22,100000.0,100000.0,0.0,0
2025-08-25,99106.91,16858.91,82248.0,600
2025-08-26,102418.91,16858.91,85560.0,600
2025-08-27,100462.91,16858.91,83604.0,600
2025-08-28,102592.91,16858.91,85734.0,600
2025-08-29,102796.91,16858.91,85938.0,600
2025-09-01,103978.91,16858.91,87120.0,600
2025-09-02,99598.91,16858.91,82740.0,600
2025-09-03,98458.91,16858.91,81600.0,600
2025-09-04,94042.91,16858.91,77184.0,600
2025-09-05,94133.18,94133.18,0.0,0
2025-09-08,94133.18,94133.18,0.0,0
2025-09-09,94133.18,94133.18,0.0,0
2025-09-10,94133.18,94133.18,0.0,0
2025-09-11,94133.18,94133.18,0.0,0
2025-09-12,94133.18,94133.18,0.0,0
2025-09-15,94133.18,94133.18,0.0,0
2025-09-16,94133.18,94133.18,0.0,0
2025-09-17,94133.18,94133.18,0.0,0
2025-09-18,94133.18,94133.18,0.0,0
2025-09-19,94133.18,94133.18,0.0,0
2025-09-22,94133.18,94133.18,0.0,0
2025-09-23,94133.18,94133.18,0.0,0
2025-09-24,94133.18,94133.18,0.0,0
2025-09-25,94133.18,94133.18,0.0,0
2025-09-26,94133.18,94133.18,0.0,0
2025-09-29,94133.18,94133.18,0.0,0
